47.6062,22.3321
43.6150,116.2023 
46.5891,112.0391 
44.9537,93.0900 
43.0731,89.4012 
40.7128,74.0060 
44.3106,69.7795 
34.0522,118.2437 
40.7608,11.8910 
39.0473,95.6752
35.7796,78.6382 
30.2672,97.7431 
25.7617,80.1918 
4.7110,74.0721 
15.8267,47.9218 
34.6037,58.3816 
12.6948,-28.4280 
16.9742,-7.9865 
16.8740,11.4339
34.0181,5.0078 
2.7405,-10.0304 
2.9492,-25.9231 
17.3082,-15.8452 
16.3693,-36.7820 
22.4009,-46.1279 
23.9052,-42.9125 
49.0945,-30.4051 
48.8566,-2.3522 
56.3588,-44.0767 
21.1458,-79.0882 
31.4762,-92.0512 
44.6692,-102.1719 
24.8741,-118.6757 
35.1796,-129.0756 
35.1814,-136.9064 
30.7490,-121.4660 
29.0139,-134.7533 
23.3593,-119.7350 
33.8688,-151.2093 
